M_PiPi^2 [GeV^2],sigma [nb],err. sigma [nb],F_pi^2,err. F_pi^2,alphaRatio,alphaRatioL,alphaRatioH
0.1050,44.0000,7.0000,1.6300,0.2700,1.00724,1.00723,1.00725
0.1150,67.0000,9.0000,1.9200,0.2600,1.00733,1.00732,1.00734
0.1250,76.0000,9.0000,1.8900,0.2400,1.00735,1.00734,1.00736
0.1350,77.0000,10.0000,1.7400,0.2300,1.00737,1.00736,1.00739
0.1450,84.0000,11.0000,1.7800,0.2300,1.00738,1.00737,1.00739
0.1550,99.0000,11.0000,2.0200,0.2300,1.00737,1.00736,1.00738
0.1650,111.0000,13.0000,2.2100,0.2600,1.00735,1.00734,1.00736
0.1750,119.0000,12.0000,2.3200,0.2400,1.00731,1.00729,1.00732
0.1850,122.0000,12.0000,2.3800,0.2300,1.00727,1.00726,1.00729
0.1950,142.0000,13.0000,2.7500,0.2600,1.00722,1.00720,1.00724
0.2050,140.0000,13.0000,2.7200,0.2400,1.00715,1.00713,1.00717
0.2150,144.0000,12.0000,2.8100,0.2300,1.00707,1.00705,1.00709
0.2250,151.0000,11.0000,2.9700,0.2200,1.00703,1.00701,1.00705
0.2350,167.0000,12.0000,3.3100,0.2300,1.00689,1.00686,1.00691
0.2450,165.0000,11.0000,3.3200,0.2200,1.00676,1.00673,1.00678
0.2550,173.0000,10.0000,3.5200,0.2100,1.00662,1.00659,1.00664
0.2650,198.0000,11.0000,4.1000,0.2200,1.00646,1.00644,1.00649
0.2750,199.0000,10.0000,4.1800,0.2100,1.00630,1.00628,1.00633
0.2850,211.0000,10.0000,4.4900,0.2100,1.00614,1.00611,1.00617
0.2950,222.0000,10.0000,4.7800,0.2100,1.00596,1.00593,1.00600
0.3050,233.0000,10.0000,5.1000,0.2100,1.00578,1.00574,1.00581
0.3150,241.0000,9.0000,5.3600,0.2100,1.00559,1.00556,1.00563
0.3250,244.0000,9.0000,5.5300,0.2100,1.00538,1.00534,1.00542
0.3350,252.0000,9.0000,5.7900,0.2100,1.00513,1.00509,1.00518
0.3450,276.0000,9.0000,6.4400,0.2100,1.00489,1.00485,1.00493
0.3550,301.0000,9.0000,7.1300,0.2200,1.00464,1.00459,1.00468
0.3650,323.0000,9.0000,7.7900,0.2200,1.00436,1.00431,1.00441
0.3750,344.0000,9.0000,8.4300,0.2200,1.00408,1.00403,1.00414
0.3850,381.0000,9.0000,9.4700,0.2300,1.00380,1.00374,1.00385
0.3950,397.0000,9.0000,10.0200,0.2300,1.00350,1.00345,1.00356
0.4050,426.0000,9.0000,10.9400,0.2300,1.00320,1.00314,1.00326
0.4150,454.0000,9.0000,11.8300,0.2300,1.00291,1.00285,1.00296
0.4250,507.0000,9.0000,13.4000,0.2400,1.00261,1.00255,1.00266
0.4350,545.0000,9.0000,14.6200,0.2400,1.00231,1.00225,1.00237
0.4450,574.0000,9.0000,15.6400,0.2400,1.00203,1.00197,1.00210
0.4550,622.0000,9.0000,17.2100,0.2500,1.00178,1.00171,1.00185
0.4650,697.0000,9.0000,19.5500,0.2600,1.00157,1.00150,1.00164
0.4750,725.0000,9.0000,20.6400,0.2600,1.00143,1.00136,1.00150
0.4850,828.0000,10.0000,23.9000,0.2800,1.00139,1.00131,1.00146
0.4950,863.0000,10.0000,25.3000,0.2800,1.00146,1.00139,1.00154
0.5050,930.0000,10.0000,27.6500,0.2900,1.00168,1.00160,1.00176
0.5150,1035.0000,10.0000,31.2400,0.3100,1.00205,1.00197,1.00213
0.5250,1065.0000,10.0000,32.6400,0.3100,1.00258,1.00250,1.00267
0.5350,1151.0000,10.0000,35.8400,0.3300,1.00355,1.00346,1.00363
0.5450,1217.0000,11.0000,38.4900,0.3400,1.00444,1.00435,1.00454
0.5550,1264.0000,11.0000,40.5900,0.3400,1.00514,1.00503,1.00526
0.5650,1278.0000,10.0000,41.6800,0.3400,1.00613,1.00599,1.00627
0.5750,1289.0000,10.0000,42.7100,0.3400,1.00697,1.00680,1.00713
0.5850,1291.0000,10.0000,43.3800,0.3400,1.00725,1.00704,1.00746
0.5950,1263.0000,10.0000,42.9400,0.3300,1.00632,1.00602,1.00662
0.6050,1264.0000,10.0000,43.4200,0.3300,1.00531,1.00487,1.00575
0.6150,927.0000,7.0000,34.0900,0.2700,1.03416,1.03384,1.03449
0.6250,801.0000,7.0000,29.8100,0.2500,1.03452,1.03411,1.03493
0.6350,779.0000,6.0000,29.0800,0.2400,1.02981,1.02953,1.03009
0.6450,743.0000,6.0000,27.9100,0.2300,1.02769,1.02749,1.02790
0.6550,680.0000,6.0000,25.7700,0.2100,1.02675,1.02658,1.02692
0.6650,619.0000,5.0000,23.6800,0.2000,1.02621,1.02607,1.02635
0.6750,576.0000,5.0000,22.2500,0.1900,1.02586,1.02574,1.02598
0.6850,534.0000,5.0000,20.8400,0.1800,1.02551,1.02541,1.02562
0.6950,479.0000,4.0000,18.9100,0.1600,1.02517,1.02507,1.02527
0.7050,434.0000,4.0000,17.3200,0.1500,1.02483,1.02474,1.02492
0.7150,394.9000,3.4000,15.9200,0.1400,1.02449,1.02440,1.02457
0.7250,359.4000,3.2000,14.6400,0.1300,1.02415,1.02407,1.02423
0.7350,328.5000,3.0000,13.5300,0.1200,1.02381,1.02372,1.02389
0.7450,298.2000,2.7000,12.4200,0.1100,1.02346,1.02338,1.02354
0.7550,272.9000,2.4000,11.4900,0.1000,1.02312,1.02304,1.02320
0.7650,250.6000,2.2000,10.6700,0.0900,1.02276,1.02268,1.02284
0.7750,231.8000,2.1000,9.9700,0.0900,1.02240,1.02232,1.02248
0.7850,213.2000,1.9000,9.2700,0.0800,1.02203,1.02195,1.02211
0.7950,196.1000,1.8000,8.6200,0.0800,1.02167,1.02159,1.02174
0.8050,185.2000,1.6000,8.2300,0.0700,1.02131,1.02123,1.02139
0.8150,170.2000,1.5000,7.6400,0.0700,1.02096,1.02087,1.02104
0.8250,157.4000,1.4000,7.1300,0.0600,1.02060,1.02052,1.02069
0.8350,146.1000,1.2000,6.6900,0.0600,1.02026,1.02017,1.02034
0.8450,135.9000,1.1000,6.2800,0.0500,1.01990,1.01982,1.01999
